country,Peak,Year,Total number of cases reported for the peak month
Ireland,January,2021,2472873.0
Ireland,November,2020,576925.0
Isle Of Man,April,2020,2578.0
Isle Of Man,July,2021,24116.0
Israel,January,2021,2190620.0
Israel,September,2020,1340858.0
Italy,January,2021,15665566.0
Italy,November,2020,19956974.0
Jamaica,May,2021,720885.0
Jamaica,October,2020,134005.0
Japan,December,2020,817372.0
Japan,May,2021,2067338.0
Jordan,March,2021,2431320.0
Jordan,November,2020,2564225.0
Kazakhstan,July,2020,768926.0
Kazakhstan,July,2021,1570684.0
Kenya,August,2020,244727.0
Kenya,May,2021,310431.0
Kuwait,July,2021,495670.0
Kuwait,May,2020,298878.0
Kyrgyzstan,July,2020,301302.0
Kyrgyzstan,July,2021,569437.0
Laos,April,2020,434.0
Laos,July,2021,38010.0
Latvia,December,2020,287004.0
Latvia,January,2021,371646.0
Lebanon,December,2020,1427441.0
Lebanon,January,2021,2793205.0
Lesotho,December,2020,31865.0
Lesotho,March,2021,192359.0
Liberia,July,2020,14867.0
Liberia,July,2021,72628.0
Libya,December,2020,876235.0
Libya,July,2021,896489.0
Liechtenstein,December,2020,6940.0
Liechtenstein,January,2021,4065.0
Lithuania,December,2020,1434119.0
Lithuania,January,2021,1087125.0
Luxembourg,April,2021,100398.0
Luxembourg,November,2020,287781.0
Macedonia,April,2021,577823.0
Macedonia,December,2020,658660.0
Madagascar,April,2021,162741.0
Madagascar,July,2020,81911.0
Malawi,August,2020,68329.0
Malawi,February,2021,384937.0
Malaysia,December,2020,471877.0
Malaysia,July,2021,3445976.0
Maldives,August,2020,71403.0
Maldives,May,2021,497277.0
Mali,December,2020,60118.0
Mali,May,2021,137110.0
Malta,March,2021,81720.0
Malta,November,2020,61601.0
Marshall Islands,April,2021,0.0
Marshall Islands,February,2021,0.0
Marshall Islands,January,2021,0.0
Marshall Islands,July,2021,0.0
Marshall Islands,June,2021,0.0
Marshall Islands,March,2021,0.0
Marshall Islands,May,2021,0.0
Marshall Islands,November,2020,51.0
Martinique,December,2020,173270.0
Martinique,July,2021,418388.0
Mauritania,December,2020,77756.0
Mauritania,January,2021,40172.0
Mauritius,April,2020,4662.0
Mauritius,July,2021,28138.0
Mayotte,December,2020,78933.0
Mayotte,May,2021,501155.0
Mexico,December,2020,6004673.0
Mexico,July,2021,9743509.0
Micronesia,April,2020,0.0
Micronesia,August,2020,0.0
Micronesia,December,2020,0.0
Micronesia,February,2020,0.0
Micronesia,January,2021,17.0
Micronesia,July,2020,0.0
Micronesia,June,2020,0.0
Micronesia,March,2020,0.0
Micronesia,May,2020,0.0
Micronesia,November,2020,0.0
Micronesia,October,2020,0.0
Micronesia,September,2020,0.0
Moldova,March,2021,631128.0
Moldova,October,2020,513440.0
Monaco,December,2020,2773.0
Monaco,January,2021,6345.0
Mongolia,December,2020,14687.0
Mongolia,June,2021,706361.0
Montenegro,December,2020,302055.0
Montenegro,January,2021,270992.0
Montserrat,April,2020,249.0
Montserrat,February,2021,121.0
Morocco,January,2021,549739.0
Morocco,November,2020,1340516.0
Mozambique,July,2021,540645.0
Mozambique,October,2020,79899.0
Myanmar,December,2020,562669.0
Myanmar,July,2021,1598954.0
Namibia,July,2021,688681.0
Namibia,September,2020,95159.0
Nepal,May,2021,3031582.0
Nepal,October,2020,1071953.0
Netherlands,January,2021,7482747.0
Netherlands,November,2020,6712448.0
New Caledonia,April,2020,293.0
New Caledonia,July,2021,2159.0
New Zealand,April,2020,18148.0
New Zealand,March,2021,2336.0
Nicaragua,July,2021,130584.0
Nicaragua,September,2020,55221.0
Niger,December,2020,29277.0
Niger,January,2021,32121.0
Nigeria,February,2021,635870.0
Nigeria,July,2020,605598.0
Norway,July,2021,1331082.0
Norway,November,2020,337201.0
Oman,July,2020,612405.0
Oman,June,2021,723292.0
Pakistan,April,2021,2284651.0
Pakistan,June,2020,2555387.0
Panama,December,2020,968019.0
Panama,January,2021,1548240.0
Papua New Guinea,April,2021,163829.0
Papua New Guinea,September,2020,6166.0
Paraguay,December,2020,767171.0
Paraguay,June,2021,1556166.0
Peru,April,2020,0.0
Peru,April,2021,0.0
Peru,August,2020,0.0
Peru,December,2020,0.0
Peru,February,2020,0.0
Peru,February,2021,0.0
Peru,January,2021,0.0
Peru,July,2020,0.0
Peru,July,2021,0.0
Peru,June,2020,0.0
Peru,June,2021,0.0
Peru,March,2020,0.0
Peru,March,2021,0.0
Peru,May,2020,0.0
Peru,May,2021,0.0
Peru,November,2020,0.0
Peru,October,2020,0.0
Peru,September,2020,0.0
Philippines,April,2021,4069977.0
Philippines,August,2020,1836499.0
Poland,March,2021,9840212.0
Poland,November,2020,11187386.0
Portugal,January,2021,4014750.0
Portugal,November,2020,2223182.0
Qatar,April,2021,589274.0
Qatar,May,2020,782140.0
Reunion,July,2021,67078.0
Reunion,September,2020,32778.0
Romania,April,2021,1813031.0
Romania,November,2020,3009898.0
Russia,December,2020,15857098.0
Russia,January,2021,16652027.0
Rwanda,July,2021,499389.0
Rwanda,September,2020,56758.0
Saint Barthelemy,December,2020,797.0
Saint Barthelemy,July,2021,16640.0
Saint Helena,April,2020,0.0
Saint Helena,April,2021,13.0
Saint Helena,August,2020,0.0
Saint Helena,December,2020,0.0
Saint Helena,February,2020,0.0
Saint Helena,July,2020,0.0
Saint Helena,June,2020,0.0
Saint Helena,March,2020,0.0
Saint Helena,May,2020,0.0
Saint Helena,November,2020,0.0
Saint Helena,October,2020,0.0
Saint Helena,September,2020,0.0
Saint Kitts And Nevis,April,2020,361.0
Saint Kitts And Nevis,June,2021,5037.0
Saint Lucia,February,2021,17342.0
Saint Lucia,November,2020,3322.0
Saint Martin,July,2021,29590.0
Saint Martin,September,2020,3711.0
Saint Pierre And Miquelon,February,2021,224.0
Saint Pierre And Miquelon,September,2020,154.0
Saint Vincent And The Grenadines,December,2020,489.0
Saint Vincent And The Grenadines,February,2021,21490.0
Samoa,March,2021,31.0
Samoa,November,2020,16.0
San Marino,March,2021,14349.0
San Marino,May,2020,12470.0
Sao Tome And Principe,February,2021,9004.0
Sao Tome And Principe,June,2020,13780.0
Saudi Arabia,July,2020,1633384.0
Saudi Arabia,July,2021,336604.0
Senegal,August,2020,119908.0
Senegal,July,2021,173313.0
Serbia,December,2020,3173052.0
Serbia,March,2021,2208600.0
Seychelles,July,2020,2389.0
Seychelles,May,2021,55315.0
Sierra Leone,December,2020,17060.0
Sierra Leone,July,2021,58287.0
Singapore,July,2021,23014.0
Singapore,May,2020,548899.0
Sint Maarten,August,2020,4963.0
Sint Maarten,January,2021,3698.0
Slovakia,January,2021,1504803.0
Slovakia,November,2020,1520406.0
Slovenia,January,2021,648355.0
Slovenia,November,2020,626019.0
Solomon Islands,December,2020,352.0
Solomon Islands,January,2021,217.0
Somalia,June,2020,55730.0
Somalia,May,2021,226573.0
South Africa,January,2021,5360711.0
South Africa,July,2020,4371248.0
South Korea,December,2020,371820.0
South Korea,July,2021,447754.0
South Sudan,March,2021,60734.0
South Sudan,October,2020,45559.0
Spain,February,2021,18099390.0
Spain,November,2020,14721892.0
Sri Lanka,December,2020,252816.0
Sri Lanka,June,2021,990319.0
State Of Palestine,April,2021,849488.0
State Of Palestine,December,2020,719242.0
Sudan,December,2020,240779.0
Sudan,January,2021,190040.0
Suriname,August,2020,25206.0
Suriname,June,2021,115963.0
Swaziland,August,2020,45404.0
Swaziland,January,2021,130030.0
Sweden,December,2020,5023373.0
Sweden,January,2021,4925410.0
Switzerland,January,2021,2782531.0
Switzerland,November,2020,3117667.0
Syria,December,2020,141441.0
Syria,January,2021,173352.0
Taiwan,April,2020,6882.0
Taiwan,June,2021,160345.0
Tajikistan,July,2021,7820.0
Tajikistan,June,2020,47453.0
Tanzania,August,2020,9455.0
Tanzania,December,2020,9455.0
Tanzania,July,2020,9455.0
Tanzania,July,2021,11166.0
Tanzania,October,2020,9455.0
Thailand,April,2020,27633.0
Thailand,July,2021,3318652.0
Timor Leste,April,2020,315.0
Timor Leste,May,2021,63463.0
Togo,April,2021,70156.0
Togo,November,2020,18415.0
Trinidad And Tobago,June,2021,263392.0
Trinidad And Tobago,September,2020,57374.0
Tunisia,July,2021,2412364.0
Tunisia,October,2020,996892.0
Turkey,April,2021,14161004.0
Turkey,December,2020,5757497.0
Turks And Caicos Islands,August,2020,6616.0
Turks And Caicos Islands,February,2021,8651.0
